site,sensor,isodate,product,saa,sza,vza,vaa,ac_aot_550,ac_model,ac_band1,ac_band2,wind,rhot_443,rhot_492,rhot_560,rhot_665,rhot_704,rhot_740,rhot_783,rhot_833,rhot_865,rhot_945,rhot_1373,rhot_1614,rhot_2202,rhos_443,rhos_492,rhos_560,rhos_665,rhos_704,rhos_740,rhos_783,rhos_833,rhos_865,rhos_insitu_443,rhos_insitu_492,rhos_insitu_560,rhos_insitu_665,rhos_insitu_704,rhos_insitu_740,rhos_insitu_783,rhos_insitu_833,rhos_insitu_865
VEIT,S2A_MSI,2022-02-17T10:11:01,S2A_MSIL1C_20220217T101101_N0400_R022_T33TUL_20220217T122427,161.922503029007,59.2067457232141,7.93740888870447,286.13711692500755,0.6772704,ACOLITE-LUT-202110-MOD1,8A,6,1.8848355042213463,0.2121,0.16907778,0.119555555,0.0864111,0.07699999,0.071711116,0.068044454,0.058377776,0.0586,0.0167,0.00090000004,0.021133333,0.012222223,0.09836209,0.07475027,0.049834713,0.023124147,0.017855233,0.016404161,0.016064322,0.013678431,0.013079214,0.022850082864931814,0.026595424529942027,0.02121900707212331,0.006665639541894141,0.004814071031806145,0.0027667038259056053,0.0025078668008429728,0.002242909375796589,0.0019809074166071633
VEIT,S2A_MSI,2022-11-21T10:03:44,S2A_MSIL1C_20221121T100321_N0400_R122_T33TUL_20221121T120215,168.430426429893,66.2921148432656,6.980039323229572,105.77406844853002,0.2749537,ACOLITE-LUT-202110-MOD1,8A,8,1.3595726585039025,0.1943,0.15304445,0.10166667,0.059144445,0.051944442,0.04348889,0.04116667,0.033677775,0.03252222,0.0108,0.0015,0.007866667,0.0042333333,0.06921339,0.0647004,0.04649837,0.0135634355,0.012099309,0.0063974815,0.008182548,0.0061976984,0.0055233045,0.025731603212183443,0.03361344203935791,0.030839203417833076,0.00666443115709128,0.0040648231024780065,0.0014290334517259955,0.0012698288647939647,0.0010851329272841884,0.0008480514148639787
VEIT,S2B_MSI,2021-02-17T10:10:23,S2B_MSIL1C_20210217T101029_N0209_R022_T33TUL_20210217T111213,161.881840596831,59.1249773433799,7.98994879946889,285.2245344952884,0.45092213,ACOLITE-LUT-202110-MOD1,8A,8,1.4430727213362922,0.195,0.16476667,0.1227111,0.06903333,0.056788888,0.0504,0.045622222,0.03767778,0.03542222,0.0116,0.001,0.009055556,0.0038333333,0.0858569,0.09189037,0.08179766,0.022637028,0.013072059,0.010275849,0.007398469,0.0057896334,0.0033338862,0.04885333555273471,0.06677098312693572,0.06724393134651072,0.018027427436883486,0.01220144135260833,0.006790325176444202,0.006209097475383412,0.0057253218226025054,0.005218948259350288
VEIT,S2A_MSI,2021-02-09T10:04:05,S2A_MSIL1C_20210209T100141_N0209_R122_T33TUL_20210209T110639,159.858522747863,62.3366518972717,6.932094371496434,105.76931566042062,0.12537102,ACOLITE-LUT-202110-MOD1,8A,8,1.2221269802537984,0.1755,0.13540001,0.087066665,0.04414444,0.036155555,0.029655555,0.0267,0.022466667,0.0201,0.0074000005,0.0015,0.0055111106,0.0035666665,0.06907761,0.063991934,0.047493957,0.013808634,0.010274046,0.0062219067,0.0056476267,0.0057951566,0.0032787542,0.03481022638199156,0.04410810793512176,0.03816133935473746,0.010103032099888535,0.007040078194816365,0.004078387972580808,0.0037557715661447914,0.0034324864938732554,0.0031238487781717564
VEIT,S2B_MSI,2020-11-26T10:03:41,S2B_MSIL1C_20201126T100339_N0209_R122_T33TUL_20201126T110137,168.210288177414,67.446193121,6.998411507410432,106.79783686359907,0.2339316,ACOLITE-LUT-202110-MOD1,8A,8,0.7113551422408441,0.1911,0.14592223,0.10071111,0.059166662,0.050977778,0.04266667,0.04097778,0.031877775,0.031099997,0.0103,0.0006,0.007566667,0.0030666667,0.05993049,0.051571477,0.04493991,0.01607433,0.014208304,0.009107149,0.009978211,0.006848724,0.0060340967,0.025773568604274676,0.031777220903993125,0.032057627711706754,0.00868424418038985,0.006089619024178874,0.0032022447511169025,0.0029105005458515522,0.0026345309944588707,0.0023490889484779533
O1BE,S2B_MSI,2022-08-03T10:46:25,S2B_MSIL1C_20220803T104629_N0400_R051_T31UDS_20220803T113612,154.999311270531,35.5698990980785,8.076315606206721,105.79057829949383,0.45380157,ACOLITE-LUT-202110-MOD1,8A,6,6.084473379987693,0.13873333,0.116955556,0.10604444,0.07174445,0.061177783,0.037544444,0.038244445,0.03107778,0.030188888,0.013566667,0.0041000005,0.012911111,0.010633334,0.010588263,0.03205302,0.0634209,0.038272403,0.032273307,0.005112804,0.007255588,0.0053304676,0.0031609691,0.04393331211837078,0.06710306802837192,0.09675911731041846,0.06022923261449515,0.049524300139227984,0.017913555213219884,0.0164588744571902,0.013697067794887698,0.010123283374439657
VEIT,S2B_MSI,2021-05-05T10:07:14,S2B_MSIL1C_20210505T100029_N0300_R122_T33TUL_20210505T134857,153.581482439835,31.4351775226531,7.0118140313432145,106.77274958798262,0.48039797,ACOLITE-LUT-202110-MOD1,8,6,2.996033567692447,0.1633,0.1259889,0.090066664,0.054222222,0.046655554,0.04202222,0.041055556,0.03701111,0.033533335,0.0147,0.0011,0.017555555,0.011922223,0.05406861,0.04651499,0.03956886,0.012338731,0.008654857,0.0068301014,0.007409883,0.00856053,0.0035558518,0.022270054475347245,0.02678805617467816,0.027775160475536464,0.008210008541297902,0.006078213104537182,0.0038628574869240782,0.003604569707933482,0.003285465110297801,0.003042011593052199
VEIT,S2B_MSI,2022-10-27T10:00:26,S2B_MSIL1C_20221027T100029_N0400_R122_T33TUL_20221027T104415,167.735341681183,59.1969043441033,7.006336189799005,106.79220618895745,0.2534534,ACOLITE-LUT-202110-MOD1,8A,8,0.6749838838411801,0.1717,0.123066664,0.0809,0.045488887,0.039177783,0.034800004,0.033433333,0.024833335,0.029588887,0.014900001,0.0016,0.009611111,0.0074999994,0.05215598,0.0335591,0.023629904,0.0043804087,0.0048316508,0.0042856117,0.0042695072,0.00079457386,0.0060138833,0.02190729524890122,0.025150348828476353,0.019295481563335902,0.0036548161885500926,0.00239094537112824,0.001175882159910482,0.0010731090835967214,0.0009685467681693083,0.0008660093811826192
VEIT,S2A_MSI,2023-06-09T10:06:01,S2A_MSIL1C_20230609T100031_N0509_R122_T33TUL_20230609T134016,147.423668893288,25.5439363188234,6.967485883875133,105.79632725813485,0.6459811,ACOLITE-LUT-202110-MOD1,8A,8,0.7485054199295404,0.1662,0.12743333,0.08384445,0.054566663,0.047166664,0.0434,0.041244447,0.033677775,0.034444444,0.0088,0.0005,0.0101333335,0.0049,0.049821164,0.039965007,0.022242766,0.00777222,0.0061894497,0.0057726908,0.005787856,0.0036431493,0.0036450236,0.020842243496458145,0.02093258312747524,0.011287894409063895,0.002047853295347656,0.001469108914271692,0.0009198084192234207,0.0008607028970104424,0.0007913723281756721,0.0007383914151765886
VEIT,S2A_MSI,2021-12-16T10:04:16,S2A_MSIL1C_20211216T100421_N0301_R122_T33TUL_20211216T105832,166.591133083641,70.0005383912738,7.017096583541356,105.75982063010355,0.061430026,ACOLITE-LUT-202110-MOD1,8A,8,1.2518620642087335,0.188,0.14872223,0.09713333,0.0476,0.038744446,0.03197778,0.027900001,0.021488888,0.0201,0.0076999995,0.0008,0.002611111,0.0016111112,0.0663868,0.069286354,0.056022875,0.01663735,0.013168911,0.0094137015,0.007940904,0.006186099,0.005004475,0.03874892724958709,0.05081668265815297,0.0462645559414311,0.010041988028714002,0.00614584454105868,0.0023593714122238344,0.002072373340340308,0.0017834108701190118,0.00144070418410242
